,Document Title,Publication Title,Publication Year,Start Page,End Page,DOI,PDF Link,Abstract,Author Keywords
9,Toward documentation of program evolution,21st IEEE International Conference on Software Maintenance (ICSM'05),2005,505,514,10.1109/ICSM.2005.92,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1510145,"The documentation of a program often falls behind the evolution of the program source files. When this happens it may be attractive to shift the documentation mode from updating the documentation to documenting the evolution of the program. This paper describes tools that support the documentation of program evolution. The tools are refinements of the elucidative programming tools, which in turn are inspired from literate programming tools. The version-aware elucidative programming tools are able to process a set of program source files in different versions together with unversioned documentation files. The paper introduces a set of fine grained program evolution steps, which are supported directly by the documentation tools. The automatic discovery of the fine grained program evolution steps makes up a platform for documenting coarse grained and more high-level program evolution steps. It is concluded that our approach can help revitalize older documentation, and that discovery of the fine grained program evolution steps help the programmer in documenting the evolution of the program.",
10,Checking inside the black box: regression testing based on value spectra differences,"20th IEEE International Conference on Software Maintenance, 2004. Proceedings.",2004,28,37,10.1109/ICSM.2004.1357787,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1357787,"Comparing behaviors of program versions has become an important task in software maintenance and regression testing. Traditional regression testing strongly focuses on black-box comparison of program outputs. Program spectra have recently been proposed to characterize a program's behavior inside the black box. Comparing program spectra of program versions offers insights into the internal behavior differences between versions. We present a new class of program spectra, value spectra, which enriches the existing program spectra family. We compare the value spectra of an old version and a new version to detect internal behavior deviations in the new version. We use a deviation-propagation call tree to present the deviation details. Based on the deviation-propagation call tree, we propose two heuristics to locate deviation roots, which are program locations that trigger the behavior deviations. We have conducted an experiment on seven C programs to evaluate our approach. The results show that our approach can effectively expose program behavior differences between versions even when their program outputs are the same, and our approach reports deviation roots with high accuracy for most programs.",
11,Automatic test case selection and generation for regression testing of composite service based on extensible BPEL flow graph,2010 IEEE International Conference on Software Maintenance,2010,1,10,10.1109/ICSM.2010.5609541,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5609541,"Services are highly reusable, flexible and loosely coupled, which makes the evolution and the maintenance of composite services more complex. Evolution of BPEL composite service covers changes of processes, bindings and interfaces. In this paper, an approach is proposed to select and generate test cases during the evolution of BPEL composite service. The approach identifies the changes by using control-flow analysis technique and comparing the paths in new composite service version and the old one using extensible BPEL flow graph (or XBFG). Message flow is appended to the control flow so that XBFG can describe the behavior of composite service integrally. The binding and predicate constraint information added in XBFG elements can be used in path selection and test case generation. Theory analysis and case study both show that the approach is effective, and test cases coverage rate is high for the changes of processes, bindings and interfaces.",
12,Program analysis and transformation for data-intensive system evolution,2010 IEEE International Conference on Software Maintenance,2010,1,6,10.1109/ICSM.2010.5609724,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5609724,"Data-intensive software systems are generally made of a database and a collection of application programs in strong interaction with the former. They constitute critical assets in most enterprises, since they support business activities in all production and management domains. Data-intensive systems form most of the so-called legacy systems: they typically are one or more decades old, they are very large, heterogeneous and highly complex. Many of them significantly resist modifications and change due to the lack of documentation, to the use of aging technologies and to inflexible architectures. Therefore, the evolution of data-intensive systems clearly calls for automated support. This thesis explores the use of automated program analysis and transformation techniques in support to the evolution of the database component of the system. The program analysis techniques aim to ease the database evolution process, by helping the developers to understand the data structures that are to be changed, despite the lack of precise and up-to-date documentation. The objective of the program transformation techniques is to support the adaptation of the application programs to the new database. This adaptation process is studied in the context of two realistic database evolution scenarios, namely database database schema refactoring and database platform migration.",
13,An Empirical Study of Multi-entity Changes in Real Bug Fixes,2018 IEEE International Conference on Software Maintenance and Evolution (ICSME),2018,287,298,10.1109/ICSME.2018.00038,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8530037,"Prior studies showed that developers applied repeated bug fixes-similar or identical code changes-to multiple locations. According to the observation, researchers built tools to automatically generate candidate patches from the repeated bug-fixing patterns. However, all such research focuses on the recurring change patterns within single methods. We are curious whether there are also repeated bug fixes that change multiple program entities (e.g., classes, methods, and fields); and if so, how we can leverage such recurring change patterns to further help developers fix bugs. In this paper, we present a comprehensive empirical study on multi-entity bug fixes in terms of their frequency, composition, and semantic meanings. Specifically for each bug fix, we first used our approach InterPart to perform static inter-procedural analysis on partial programs (i.e., the old and new versions of changed Java files), and to extract change dependency graphs (CDGs)-graphs that connect multiple changed entities based on their syntactic dependencies. By extracting common subgraphs from the CDGs of different fixes, we identified the recurring change patterns. Our study on Aries, Cassandra, Derby, and Mahout shows that (1) 52-58% of bug fixes involved multi-entity changes; (2) 6 recurring change patterns commonly exist in all projects; and (3) 19-210 entity pairs were repetitively co-changed mainly because the pairs invoked the same methods, accessed the same fields, or contained similar content. These results helped us better understand the gap between the fixes generated by existing automatic program repair (APR) approaches and the real fixes. Our observations will shed light on the follow-up research of automatic program comprehension and modification.",Correlated changes in multiple software entities;change characterization
14,Mainframe Migration Based on Screen Scraping,2018 IEEE International Conference on Software Maintenance and Evolution (ICSME),2018,675,684,10.1109/ICSME.2018.00077,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8530080,"Companies possess a history and large array of legacy information systems that consume a great part of their IT budget in operations and maintenance. These systems are mission-critical, and they cannot be fully discarded since they retain business rules and provide information that is not available anywhere else. Unfortunately, decades-old legacy systems cannot easily withstand modification. Mainframes specifically conglomerate most of these legacy systems. Although there are some white-box solutions for migrating mainframe systems, such solutions lack systematicity and do not provide mechanisms for verifying business rules preservation. Hence, this paper presents a black-box solution (ignoring the internal structure of COBOL programs) which uses a screen scraping technique for migrating mainframe systems toward JavaFX and relational databases. Together with this solution, this paper provides an automatic verification technique to check if the recreated system reflects all the embedded business logic. This proposal has been designed and developed in the context of an industrial project, in which the solution has already migrated 43,000,000 mainframe screens from four systems. The main implication for researchers and practitioners is that screen scraping has proved to be feasible for migrating mainframe systems in large-scale projects within a manageable time-frame while preserving business.",Screen Scraping;Mainframe;Legacy Information Systems;COBOL;Migration;Verification
15,"Reduce, reuse, recycle, recover: Techniques for improved regression testing",2009 IEEE International Conference on Software Maintenance,2009,5,5,10.1109/ICSM.2009.5306347,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5306347,"One of the most expensive activities that occurs as software is developed and maintained is the testing (or retesting) of the software after it has been modified. Studies suggest that a significant portion of development and maintenance costs go to this retesting, which is known as regression testing. Reports estimate that regression testing consumes as much as 80% of the overall testing budget and can consume up to 50% of the cost of software maintenance. Rapidly changing software and computing environments present many challenges for effective and efficient regression testing in practice. Regression testing can be performed after changes are made to the software, such as after nightly or regular builds, before a new version of the software is released, every time the software is saved and compiled, such as in an agile development environment, or before patches, such as security patches, are released. Regardless of the environment or when it is performed, the goals of regression testing are the same: to improve confidence that the changes behave as intended and that they have not adversely affected unchanged parts of the software. Because regression testing is important, but expensive, much research has been performed, both in industry and in academia, to develop techniques to make regression testing more effective and efficient. This research has also produced many tools and systems that have been used for empirical studies that investigate the effectiveness, scalability, and practicality of the techniques. Researchers have developed techniques for addressing a number of issues related to regression testing, and, in this talk, I will discuss them in four areas. First, techniques attempt to reduce the regression testing time by creating effective regression test suites that test the changed part of the software, by identifying test cases in the regression test suite that do not need to be rerun on the changed software, and by identifying and removing obsolete test cases. Second, techniques can reuse test suites created for one version of the software by identifying those test cases that need to be rerun for testing subsequent versions of the software and by computing an effective ordering for running the test cases. Third, techniques can recycle test cases by monitoring executions to gather test inputs that can be used for retest-ing and by creating unit test cases from system test cases. Finally, techniques could recover test cases by identifying, manipulating, and transforming obsolete test cases, by generating new test cases from old ones, and by repairing test cases when the software changes. In this talk, I will overview the research in testing of evolving software, and discuss achievements to date in managing regression testing by reducing, reusing, recycling, and recovering test cases. I will also present the state of the research and the state of the practice in regression testing. Finally, I will discuss the current trends in both academia and industry, the challenges for solving the difficult problems that exist, the promise for testing of evolving software in the future, and the important open challenges for regression testing in the next decade.",
0,Requirements Elicitation with and for Older Adults,IEEE Software,2008,16,17,10.1109/MS.2008.69,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4497756,"The study investigated the strengths and weaknesses of existing user-centered design (UCD) methods for eliciting requirements from older adults. A case study in which older people are involved in designing, developing, and evaluating a virtual-garden prototype. Users could potentially employ this device (which has an interface that resembles a real garden) as an empathic information appliance that would provide weather forecasts and help control smart devices and assistive technologies. Creativity-oriented techniques are suggested to designers, developers, and engineers when creating products so that older people are included in the market consideration.",older adults;empathic interfaces;user-centered design
1,Is 40 the New 60? How Popular Media Portrays the Employability of Older Software Developers,IEEE Software,2020,26,31,10.1109/MS.2020.3014178,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9157881,"We studied the public discourse around age and software development, focusing on the United States. This work was designed to build awareness among decision makers in software projects to help them anticipate and mitigate challenges that their older employees may face.",
4,Nine Things You Can Do with Old Software,IEEE Software,2008,93,94,10.1109/MS.2008.139,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4602682,"Every new line of code quickly becomes legacy. When that legacy mounts, it forms a significantly massive pile of software, which cannot be ignored. This article discusses what we can do intentionally with such piles, from abandonment to evolution and many things in between.",software architecture;software architecture economics;software development life cycle
5,Open source software ERPs: a new alternative for an old need,IEEE Software,2006,94,97,10.1109/MS.2006.78,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1628946,"Both OSS ERPs and proprietary ERPs involve complex system implementations that usually require modifications to a firm's business processes as well as some adaptation of the ERP' functionality. This mutual matching project usually involves consulting firms. However, the benefits of applying OSS are greater for ERPs than for other kinds of applications, for three main reasons: increased adaptability, decreased reliance on a single supplier, reduced costs",ERP;enterprise resource planning;open source;management information systems
7,Sometimes the Old Ways Are Best,IEEE Software,2008,18,19,10.1109/MS.2008.161,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4670705,"Brian Kernighan looks back at what has and has not changed in computing, programming, and tools over the last 30 years. He discusses what we want from our tools and reveals his favorites.",software tool;software development tool;integrated development environment
8,Community Collaboration for ERP Implementation,IEEE Software,2009,48,55,10.1109/MS.2009.171,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5287009,"The paper discusses the enterprise resource planning (ERP).ERP implementation solves business problems by customizing and integrating off-the-shelf enterprise software packages. A successful ERP implementation involves extensive collaboration and communication among the customer, implementation consultancy, and software vendor. Collaboration allows implementation personnel from different organizations to utilize each other's experiences. An example of this is the Web 2.0. A Web 2.0 knowledge repository system can reduce costs, improve quality, and lower the risks of ERP implementations.Through the case study, the key desired features for Web 2.0 knowledge repository system to support ERP implementations were defined. Epics was designed to fulfill these requirements and developed a prototype. Epics can be used by software vendors, ERP consulting firms, and ERP users. Human aspects play a critical role in ERP implementation. ERP implementation quality depends largely on how the implementation personnel's knowledge and past experiences are reused and communicated. Although knowledge reuse, collaboration, and communication are important for all software projects, they're particularly critical in ERP implementation owing to its unique challenges.",Web 2.0;ERP implementation;software engineering;software implementation;packaged software;enterprise resource planning;ERP
12,Are Domain-Specific Models Easier to Maintain Than UML Models?,IEEE Software,2009,19,21,10.1109/MS.2009.87,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5076454,"Although domain-specific modeling (DSM) languages have been adopted in industries such as telecommunications and insurance, they haven't yet gained wide acceptance in practice. This is because the claims of increased productivity and ease of understanding haven't yet been verified by independent studies. To address this concern, we examined a DSM language's performance for maintenance tasks. Maintenance in software-intensive systems is critical because software often continuously evolves during development as well as after delivery, to meet users' ever-changing needs. So, maintenance performance significantly impacts software development productivity.Experimental results show that maintenance can be significantly easier and faster with a DSM language than with a general- purpose modeling language.",visual programming;programming techniques;design notations and documentation;design representation;design maintainability;software distribution;software maintenance
13,"Agile Documentation, Anyone?",IEEE Software,2009,11,12,10.1109/MS.2009.167,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5287001,"Software developers are notorious for skimping on design documentation, often eschewing it altogether. This trend has led to claims that it is merely an impediment in the fast-paced and highly pliable world of software development-a useless vestige of old-style engineering that should be eliminated altogether. While recognizing the unique nature of software, the author argues that, because of the complexity of modern software systems and the cryptic nature of current programming languages, good design documentation is not only useful but vital. However, we must seek ways of adapting it to suit the medium as well as the exceptionally dynamic development process.",Documentation;Software engineering;Software maintenance
14,Agile Requirements Engineering Practices: An Empirical Study,IEEE Software,2008,60,67,10.1109/MS.2008.1,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4420071,"An analysis of data from 16 software development organizations reveals seven agile RE practices, along with their benefits and challenges. The rapidly changing business environment in which most organizations operate is challenging traditional requirements-engineering (RE) approaches. Software development organizations often must deal with requirements that tend to evolve quickly and become obsolete even before project completion. Rapid changes in competitive threats, stakeholder preferences, development technology, and time-to-market pressures make prespecified requirements inappropriate.",requirements engineering;agile software development
16,Integrate End to End Early and Often,IEEE Software,2013,9,14,10.1109/MS.2013.77,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6547611,"This column is all about stories, and this one is as exciting as a paperback whodunit. The details are all included, and I hate to spoil it, but there's a happy ending. The story is about something old--designing and implementing a new system when the old one was really old (two decades!) and something new--using outside research consultants to save the day with a secret sauce. Enjoy!",software architecture;software process;incremental iterative development;integration;architecture-centric engineering;team software process
18,Requirements Engineering's Next Top Model,IEEE Software,2013,24,29,10.1109/MS.2013.129,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6648608,"A game-show environment let a panel competitively explore the use of various requirements modeling techniques for specifying a complex problem. Although plain old text and rich pictures emerged as the winners, real-world problems are best modeled using a variety of techniques. The Web extra at http://youtu.be/6vfIwSauj5o is an audio podcast of author Jane Cleland-Huang providing an audio recording of her Requirements column, in which she discusses how a game-show environment at the 2013 European Software Engineering Conference let a panel competitively explore the use of various requirements modeling techniques for specifying a complex problem.",requirements;modeling
19,"Aim, fire [test-first coding]",IEEE Software,2001,87,89,10.1109/52.951502,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=951502,"The author argues that test-first coding is not testing. Test-first coding is not new. It is nearly as old as programming. It is an analysis technique. We decide what we are programming and what we are not programming, and we decide what answers we expect. Test-first is also a design technique.",
22,Guest Editors' Introduction: Dynamically Typed Languages,IEEE Software,2007,28,30,10.1109/MS.2007.140,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4302683,"The languages discussed in this special issue have a long history, which is perhaps why some have had several different names over the years. One such language is Lisp, the second-oldest programming language. For years, many somewhat dismissively described languages such as Lisp as ""scripting languages."" Today, we more commonly refer to them as dynamically typed languages, typified by Python and Ruby, and their impact is arguably greater than ever. This issue highlights the practical uses of such languages and shows how they're frequently a vehicle for innovation in the development sphere. This article is part of a special issue on dynamically typed languages.",dynamically typed languages;Lisp;Python;Ruby;Smalltalk;Lua;CLOS
23,Test Optimization Using Software Virtualization,IEEE Software,2006,66,69,10.1109/MS.2006.143,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1687863,"Virtualization of operating systems has recently become a hype, although the concept is very old. Virtualization lets us group resources logically and thus abstract from the dependencies that physical implementations create. For operating systems, virtualization lets us reduce resource constraints and expenses for a multitude of interacting hardware and operating systems. This is helpful in scenarios with many such dependencies, such as testing. This article briefly introduces virtualization from a tester's perspective. It summarizes experiences and compares different virtualization approaches: architectural, logical, and physical. Only the test itself remains a necessary reality",software testing;virtual machines;open source
24,Point/Counterpoint,IEEE Software,2007,62,65,10.1109/MS.2007.50,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4118652,"The key to successful systems is building what the stakeholders desire. In a way, this point can hardly be gain.said: nobody wants to build what the stakeholders don't desire. But as usual, the devil is in the details. this paper contrasts two examples to illustrate what it can mean to build what stakeholders desire. There's an old saying in software development that the users don't know what they want until you give them what they asked for. Experienced developers often smile ruefully when they hear this, having been told at least once in their careers that a system they had delivered was totally unacceptable when it was exactly (as far as they could tell) what was requested. There's more to delivering good software than following orders. The paper describes what positive role developers can play in discovering and exploring requirements",requirements engineering;software development;agile methods
26,Next-Generation Architects for a Harsh Business World,IEEE Software,2012,9,12,10.1109/MS.2012.37,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6155136,"Walter Ariel Risi proposes some patterns for hiring productive people that remind me of research done in the early days of patterns by Jim Coplien, who found that hyperproductive teams included, in many cases, musicians! In the old days, companies often hired smart people from other disciplines because software engineering or computer science hadn't joined the academic production of certified, degreed contributors. With the current focus now on degrees, I wonder if we've lost something important.",personnel;HR;architects;traditional;nontraditional
27,A tale of three programs,IEEE Software,2017,23,26,10.1109/MS.2017.62,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7927921,"A look at the generation of prime numbers offers a cautionary tale about the perils of premature optimization. We can code this in any reasonable programming language, and in quite a few unreasonable ones as well. It can be fun to express the algorithm in Python, C, C++, Scala, or Go, or even in scripting languages such as Tcl or Awk. And, yes, I confess that I've tried most of these, including Awk. Each language offers different features that can simplify the job or make it more interesting. For our current purpose, it'll suffice to stick to just plain old C.In a first attempt, we might come up with the version in Figure 1, which assumes that we provide the value of N in some other way-for example, with a macro directive to the C compiler.",prime numbers;recursion;Sieve of Eratosthenes;software development;software engineering;programming;Robert Morris Sr.
28,Body Sensors: Wireless Access to Physiological Data,IEEE Software,2009,71,73,10.1109/MS.2009.5,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4721186,"An area often neglected in software technology is where software meets biology. We'll approach this topic with one of the major interfaces between human beings and information technology: body sensors. These sensors mostly operate as interfaces to relatively small software components attached to or implanted into human bodies, such as pacemakers. They provide bidirectional communication interfaces between a person and a remote information system that provides healthcare services, diagnosis, or upgrades. The authors offer an overview of this rather old yet fast-evolving technology and show how to cope with design constraints.",body sensors;wireless communication;embedded software
29,Git,IEEE Software,2012,100,101,10.1109/MS.2012.61,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6188603,"Git is a distributed revision control system available on all mainstream development platforms through a free software license. An important difference of git over its older ancestors is that it elevates the software's revisions to first-class citizens. Developers care deeply about software revisions, and git supports this by giving each developer a complete private copy of the software repository and numerous ways to manage revisions within its context. The ability to associate a local repository with numerous remote ones allows developers and their managers to build a variety of interesting distributed workflows, most of which are impossible to run on a traditional centralized version control system. The local repository also makes git responsive, easy to setup, and able to operate without Internet connectivity. GitHub is a git repository hosting provider that simplifies many repository management tasks through a Web-based user interface while also promoting cooperation in open source projects.",git;distributed version control;GitHub;configuration management
30,Like a River,IEEE Software,2009,10,11,10.1109/MS.2009.74,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4814951,"The metaphor of software development as building construction is an old one. Here is a fresh perspective, considering the life cycle of a software-intensive system as a river.",life cycle;software-intensive systems
31,Software's invisible users,IEEE Software,2001,84,88,10.1109/52.922730,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=922730,"Software is deterministic. Given a starting state and a fixed series of inputs, software will produce the exact same output every single time those inputs are applied. In fact, many of the technologies we apply during development (reviews, formal proofs, testing, and so forth) rely on this determinism; they would not work otherwise. But if software is deterministic, why do weird things happen? Why is it that we can apply a sequence of inputs and observe a failure and then be unable to reproduce that failure? Why does software work on one machine and fail on another? How is it that you can return from lunch and find your Web browser has crashed when it wasn't being used? The answer is, of course, that modern software processes an enormous number of inputs and only a small percentage of these inputs originate from human users. When testers can't reproduce failures, the reason is that they are only resubmitting the human input without sufficient regard to the operating system return codes and input from runtime libraries. When software fails on a new computer after running successfully on another, the reason can only be that the new system is supplying input that differs in content from the old one. And the browser that crashes when you are at lunch is responding to input from a nonhuman external resource.",
