"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"On the Semantics of Associations and Association Ends in UML","D. Milicev",IEEE Computer Society,"IEEE Transactions on Software Engineering","12 Mar 2007","2007","33","4","238","251","Association is one of the key concepts in UML that is intensively used in conceptual modeling. Unfortunately, in spite of the fact that this concept is very old and is inherited from other successful modeling techniques, a fully unambiguous understanding of it, especially in correlation with other newer concepts connected with association ends, such as uniqueness, still does not exist. This paper describes a problem with one widely assumed interpretation of the uniqueness of association ends, the restrictive interpretation, and proposes an alternative, the intentional interpretation. Instead of restricting the association from having duplicate links, uniqueness of an association end in the intentional interpretation modifies the way in which the association end maps an object of the opposite class to a collection of objects of the class at that association end. If the association end is unique, the collection is a set obtained by projecting the collection of all linked objects. In that sense, the uniqueness of an association end modifies the view to the objects at that end, but does not constrain the underlying object structure. This paper demonstrates how the intentional interpretation improves expressiveness of the modeling language and has some other interesting advantages. Finally, this paper gives a completely formal definition of the concepts of association and association ends, along with the related notions of uniqueness, ordering, and multiplicity. The semantics of the UML actions on associations are also defined formally","1939-3520","","10.1109/TSE.2007.37","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4123326","Object-oriented modeling;Unified Modeling Language (UML);association;association end;formal semantics;conceptual modeling;model-driven development.","Unified modeling language;Object oriented modeling;Application software;Switches;Erbium;Computer Society;Visualization;Software systems;Computer industry;Object oriented databases","entity-relationship modelling;formal specification;object-oriented programming;programming language semantics;Unified Modeling Language","UML;conceptual modeling;intentional interpretation;association end;object-oriented modeling;Unified Modeling Language;formal semantics;formal specification","","13","","21","","12 Mar 2007","","","IEEE","IEEE Journals"
"Sufficient condition for a communication deadlock and distributed deadlock detection","B. E. Wojcik; Z. M. Wojcik","Beechcraft Co., Wichita, KS, USA; NA","IEEE Transactions on Software Engineering","6 Aug 2002","1989","15","12","1587","1595","The necessary and sufficient condition for deadlock in a distributed system and an algorithm for detection of a distributed deadlock based on the sufficient condition are formulated. The protocol formulated, checks all wait-for contiguous requests in one iteration. A cycle is detected when a query message reaches the initiator. A wait-for cycle is only the necessary condition for the distributed deadlock. A no-deadlock message is expected by the query initiator to infer a deadlock-free situation if at least one wait-for cycle is present. A no-deadlock message is issued by a dependent (query intercessor) that is not waiting-for. No no-deadlock message implies a deadlock, and processes listed in the received query messages are the processes involved in a distributed deadlock. Properties of the protocol are discussed. The authors show that a replication of a requested higher-priority (or older) process can prevent a distributed deadlock (in a continuous deadlock treatment). A replication is shown to recover (in a periodical deadlock handling) a sequence of processes from an indefinite wait-die scheme.<<ETX>></ETX>","1939-3520","","10.1109/32.58770","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=58770","","System recovery;Sufficient conditions;Protocols;Network servers;Resource management;Imaging phantoms;Mathematics;Computer science;Statistics;Hardware","distributed processing;system recovery","communication deadlock;distributed deadlock detection;sufficient condition;protocol;wait-for contiguous requests;query message;wait-for cycle;no-deadlock message;query initiator;deadlock-free situation;query intercessor;replication;periodical deadlock handling;indefinite wait-die scheme","","8","","12","","6 Aug 2002","","","IEEE","IEEE Journals"
"Coverage Prediction for Accelerating Compiler Testing","J. Chen; G. Wang; D. Hao; Y. Xiong; H. Zhang; L. Zhang; B. Xie","Institute of Software, EECS, Peking University, Beijing, China; Institute of Software, EECS, Peking University, Beijing, China; Institute of Software, EECS, Peking University, Beijing, China; Institute of Software, EECS, Peking University, Beijing, China; University of Newcastle, Newcastle, NSW, Australia; Institute of Software, EECS, Peking University, Beijing, China; Institute of Software, EECS, Peking University, Beijing, China","IEEE Transactions on Software Engineering","11 Feb 2021","2021","47","2","261","278","Compilers are one of the most fundamental software systems. Compiler testing is important for assuring the quality of compilers. Due to the crucial role of compilers, they have to be well tested. Therefore, automated compiler testing techniques (those based on randomly generated programs) tend to run a large number of test programs (which are test inputs of compilers). The cost for compilation and execution for these test programs is significant. These techniques can take a long period of testing time to detect a relatively small number of compiler bugs. That may cause many practical problems, e.g., bringing a lot of costs including time costs and financial costs, and delaying the development/release cycle. Recently, some approaches have been proposed to accelerate compiler testing by executing test programs that are more likely to trigger compiler bugs earlier according to some criteria. However, these approaches ignore an important aspect in compiler testing: different test programs may have similar test capabilities (i.e., testing similar functionalities of a compiler, even detecting the same compiler bug), which may largely discount their acceleration effectiveness if the test programs with similar test capabilities are executed all the time. Test coverage is a proper approximation to help distinguish them, but collecting coverage dynamically is infeasible in compiler testing since most test programs are generated on the fly by automatic test-generation tools like Csmith. In this paper, we propose the first method to predict test coverage statically for compilers, and then propose to prioritize test programs by clustering them according to the predicted coverage information. The novel approach to accelerating compiler testing through coverage prediction is called COP (short for COverage Prediction). Our evaluation on GCC and LLVM demonstrates that COP significantly accelerates compiler testing, achieving an average of 51.01 percent speedup in test execution time on an existing dataset including three old release versions of the compilers and achieving an average of 68.74 percent speedup on a new dataset including 12 latest release versions. Moreover, COP outperforms the state-of-the-art acceleration approach significantly by improving <inline-formula><tex-math notation=""LaTeX"">$17.16\%\sim 82.51\%$</tex-math><alternatives><mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:mn>17</mml:mn><mml:mo>.</mml:mo><mml:mn>16</mml:mn><mml:mo>%</mml:mo><mml:mo>∼</mml:mo><mml:mn>82</mml:mn><mml:mo>.</mml:mo><mml:mn>51</mml:mn><mml:mo>%</mml:mo></mml:mrow></mml:math><inline-graphic xlink:href=""chen-ieq1-2889771.gif"" xmlns:xlink=""http://www.w3.org/1999/xlink""/></alternatives></inline-formula> speedups in different settings on average.","1939-3520","","10.1109/TSE.2018.2889771","National Key Research and Development Program of China(grant numbers:2017YFB1001803); National Natural Science Foundation of China(grant numbers:61672047,61529201,61872008,61828201,61672045,61861130363); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8588375","Compiler testing;test prioritization;machine learning","Testing;Program processors;Computer bugs;Life estimation;Acceleration;Optimization;Electromagnetic interference","","","","3","","86","IEEE","25 Dec 2018","","","IEEE","IEEE Journals"
"Dynamic Update of Discrete Event Controllers","L. Nahabedian; V. Braberman; N. D'Ippolito; S. Honiden; J. Kramer; K. Tei; S. Uchitel","FCEyN, ICC, CONICET, Universidad de Buenos Aires, Buenos Aires, Argentina; FCEyN, ICC, CONICET, Universidad de Buenos Aires, Buenos Aires, Argentina; FCEyN, ICC, CONICET, Universidad de Buenos Aires, Buenos Aires, Argentina; National Institute of Informatics, Tokyo, Japan; Department of Computing, Imperial College, London, United Kingdom; National Institute of Informatics, Tokyo, Japan; FCEyN, ICC, CONICET, Universidad de Buenos Aires, Buenos Aires, Argentina","IEEE Transactions on Software Engineering","13 Nov 2020","2020","46","11","1220","1240","Discrete event controllers are at the heart of many software systems that require continuous operation. Changing these controllers at runtime to cope with changes in its execution environment or system requirements change is a challenging open problem. In this paper we address the problem of dynamic update of controllers in reactive systems. We present a general approach to specifying correctness criteria for dynamic update and a technique for automatically computing a controller that handles the transition from the old to the new specification, assuring that the system will reach a state in which such a transition can correctly occur and in which the underlying system architecture can reconfigure. Our solution uses discrete event controller synthesis to automatically build a controller that guarantees both progress towards update and safe update.","1939-3520","","10.1109/TSE.2018.2876843","ANPCYT; Secretaría de Ciencia y Técnica, Universidad de Buenos Aires; Consejo Nacional de Investigaciones Científicas y Técnicas; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8500345","Controller synthesis;dynamic update;adaptive systems","Tools;Runtime;Paints;Control systems;Business;Safety","control system synthesis;discrete event systems","discrete event controllers;software systems;reactive systems;event controller synthesis","","2","","71","IEEE","19 Oct 2018","","","IEEE","IEEE Journals"
"An Empirical Study of Dependency Downgrades in the npm Ecosystem","F. R. Cogo; G. A. Oliva; A. E. Hassan","School of Computing, Queen's University, 4257 Kingston, Ontario Canada (e-mail: filipe.cogo@gmail.com); School of Computing, Queen's University, Kingston, Ontario Canada K7L 2N8 (e-mail: golivax@gmail.com); School of Computing, Queen's University, Kingston, Ontario Canada K7L 3N6 (e-mail: ahmed@cs.queensu.ca)","IEEE Transactions on Software Engineering","","2019","PP","99","1","1","In a software ecosystem, a dependency relationship enables a client package to reuse a certain version of a provider package. Packages in a software ecosystem often release versions containing bug fixes, new functionalities, and security enhancements. Hence, updating the provider version is an important maintenance task for client packages. Despite the number of investigations about dependency updates, there is a lack of studies about dependency downgrades in software ecosystems. A downgrade indicates that the adopted version of a provider package is not suitable to the client package at a certain moment. In this paper, we investigate downgrades in the npm ecosystem. We address three research questions. In our first RQ, we provide a list of the reasons behind the occurrence of downgrades. Two categories of downgrades according to their rationale: reactive and preventive. The reasons behind reactive downgrades are defects in a specific version of a provider, unexpected feature changes in a provider, and incompatibilities. In turn, preventive downgrades are an attempt to avoid issues in future releases. In our second RQ, we investigate how the versioning of dependencies is modified when a downgrade occurs. We observed that 49% of the downgrades are performed by replacing a range of acceptable versions of a provider by a specific old version. Also, 48% of the downgrades reduce the provider version by a minor level (e.g., from 2.1.0 to 2.0.0). In our third RQ we observed that 50% of the downgrades are performed at a rate that is four times as slow as the median time-between-releases of their associated client packages. We also observed that downgrades that follow an explicit update of a provider package occur 9 times faster than downgrades that follow an implicit update. Explicit updates occur when the provider is updated by means of an explicit change to the versioning specification (i.e., the string used by client packages to define the provider version that they are willing to adopt). We conjecture that, due to the controlled nature of explicit updates, it is easier for client packages to identify the provider that is associated with the problem that motivated the downgrade.","1939-3520","","10.1109/TSE.2019.2952130","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8894401","downgrades;dependency management;npm;software ecosystems","Ecosystems;Software;Computer bugs;Tools;Security;Task analysis","","","","2","","","IEEE","8 Nov 2019","","","IEEE","IEEE Early Access Articles"
"Dynamic Software Updating Using a Relaxed Consistency Model","H. Chen; J. Yu; C. Hang; B. Zang; P. Yew","Fudan University, Shanghai; University of Michigan, Ann Arbor; Microsoft (China) Ltd., Shanghai; Fudan University, Shanghai; University of Minnesota at Twin Cities, Minneapolis","IEEE Transactions on Software Engineering","29 Sep 2011","2011","37","5","679","694","Software is inevitably subject to changes. There are patches and upgrades that close vulnerabilities, fix bugs, and evolve software with new features. Unfortunately, most traditional dynamic software updating approaches suffer some level of limitations; few of them can update multithreaded applications when involving data structure changes, while some of them lose binary compatibility or incur nonnegligible performance overhead. This paper presents POLUS, a software maintenance tool capable of iteratively evolving running unmodified multithreaded software into newer versions, yet with very low performance overhead. The main idea in POLUS is a relaxed consistency model that permits the concurrent activity of the old and new code. POLUS borrows the idea of cache-coherence protocol in computer architecture and uses a ”bidirectional write-through” synchronization protocol to ensure system consistency. To demonstrate the applicability of POLUS, we report our experience in using POLUS to dynamically update three prevalent server applications: vsftpd, sshd, and Apache HTTP server. Performance measurements show that POLUS incurs negligible runtime overhead on the three applications-a less than 1 percent performance degradation (but 5 percent for one case). The time to apply an update is also minimal.","1939-3520","","10.1109/TSE.2010.79","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5551162","Maintainability;reliability;runtime environments.","Software;Synchronization;Protocols;Bidirectional control;Registers;Runtime","computer architecture;hypermedia;multi-threading;program testing;software maintenance;software tools;transport protocols","dynamic software update;relaxed consistency model;data structure;binary compatibility;nonnegligible performance;POLUS;software maintenance tool;iteratively evolving running unmodified multithreaded software;concurrent activity;cache-coherence protocol;computer architecture;bidirectional write-through synchronization protocol;prevalent server application;HTTP server","","27","4","42","","19 Aug 2010","","","IEEE","IEEE Journals"
"Managing requirements inconsistency with development goal monitors","W. N. Robinson; S. D. Pawlowski","Dept. of Comput. Inf. Syst., Georgia State Univ., Atlanta, GA, USA; NA","IEEE Transactions on Software Engineering","6 Aug 2002","1999","25","6","816","835","Managing the development of software requirements can be a complex and difficult task. The environment is often chaotic. As analysts and customers leave the project, they are replaced by others who drive development in new directions. As a result, inconsistencies arise. Newer requirements introduce inconsistencies with older requirements. The introduction of such requirements inconsistencies may violate stated goals of development. In this article, techniques are presented that manage requirements document inconsistency by managing inconsistencies that arise between requirement development goals and requirements development enactment. A specialized development model, called a requirements dialog meta-model, is presented. This meta-model defines a conceptual framework for dialog goal definition, monitoring, and in the case of goal failure, dialog goal reestablishment. The requirements dialog meta-model is supported in an automated multiuser World Wide Web environment, called DEALSCRIBE. An exploratory case study of its use is reported. This research supports the conclusions that: an automated tool that supports the dialog meta-model can automate the monitoring and reestablishment of formal development goals; development goal monitoring can be used to determine statements of a development dialog that fail to satisfy development goals; and development goal monitoring can be used to manage inconsistencies in a developing requirements document. The application of DEALSCRIBE demonstrates that a dialog meta-model can enable a powerful environment for managing development and document inconsistencies.","1939-3520","","10.1109/32.824411","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=824411","","Computerized monitoring;Condition monitoring;Power system management;Design engineering;Power engineering and energy;Computer aided software engineering;Software development management;Student members;Chaos;Web sites","systems analysis;formal specification;software development management;information resources","requirements inconsistency management;development goal monitors;software requirements development management;requirement development goals;requirements development enactment;requirements dialog meta-model;dialog goal definition;World Wide Web;multiuser environment;DEALSCRIBE","","41","","75","","6 Aug 2002","","","IEEE","IEEE Journals"
"A Screening Test for Disclosed Vulnerabilities in FOSS Components","S. Dashevskyi; A. D. Brucker; F. Massacci","University of Trento, TN, Italy; University of Sheffield, Sheffield, United Kingdom; University of Trento, Trento, TN, Italy","IEEE Transactions on Software Engineering","16 Oct 2019","2019","45","10","945","966","Free and Open Source Software (FOSS) components are ubiquitous in both proprietary and open source applications. Each time a vulnerability is disclosed in a FOSS component, a software vendor using this component in an application must decide whether to update the FOSS component, patch the application itself, or just do nothing as the vulnerability is not applicable to the older version of the FOSS component used. This is particularly challenging for enterprise software vendors that consume thousands of FOSS components and offer more than a decade of support and security fixes for their applications. Moreover, customers expect vendors to react quickly on disclosed vulnerabilities-in case of widely discussed vulnerabilities such as Heartbleed, within hours. To address this challenge, we propose a screening test: a novel, automatic method based on thin slicing, for estimating quickly whether a given vulnerability is present in a consumed FOSS component by looking across its entire repository. We show that our screening test scales to large open source projects (e.g., Apache Tomcat, Spring Framework, Jenkins) that are routinely used by large software vendors, scanning thousands of commits and hundred thousands lines of code in a matter of minutes. Further, we provide insights on the empirical probability that, on the above mentioned projects, a potentially vulnerable component might not actually be vulnerable after all.","1939-3520","","10.1109/TSE.2018.2816033","European Commission(grant numbers:317387); CISCO Country Digitalization; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8316943","Security maintenance;security vulnerabilities;patch management;free and open source software","Security;Maintenance engineering;Tools;Jacobian matrices;Patents;Open source software","DP industry;program slicing;program testing;public domain software;security of data","proprietary source applications;open source applications;screening test;disclosed vulnerabilities;FOSS component;free and open source software component;thin slicing;enterprise software vendors","","2","","51","IEEE","15 Mar 2018","","","IEEE","IEEE Journals"
"Site Initialization, Recovery, and Backup in a Distributed Database System","R. Attar; P. A. Bernstein; N. Goodman","Department of Research and Development, Computer Division, Israeli Discount Bank.; Sequoia Systems, Inc., Marlborough, MA 01752.; Sequoia Systems, Inc., Marlborough, MA 01752.","IEEE Transactions on Software Engineering","29 May 2009","1984","SE-10","6","645","650","Site initialization is the problem of integrating a new site into a running distributed database system (DDBS). Site recovery is the problem of integrating an old site into a DDBS when the site recovers from failure. Site backup is the problem of creating a static backup copy of a database for archival or query purposes. We present an algorithm that solves the site initialization problem. By modifying the algorithm slightly, we get solutions to the other two problems as well. Our algorithm exploits the fact that a correct DDBS must run a serializable concurrency control algorithm. Our algorithm relies on the concurrency control algorithm to handle all intersite synchronization.","1939-3520","","10.1109/TSE.1984.5010293","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5010293","Distributed database systems;fault recovery;site initialization","Database systems;Concurrency control;Transaction databases;Contracts;Concurrent computing;Research and development","","","","30","8","16","","29 May 2009","","","IEEE","IEEE Journals"
"Checking inside the black box: regression testing by comparing value spectra","T. Xie; D. Notkin","Dept. of Comput. Sci., North Carolina State Univ., Raleigh, NC, USA; NA","IEEE Transactions on Software Engineering","21 Nov 2005","2005","31","10","869","883","Comparing behaviors of program versions has become an important task in software maintenance and regression testing. Black-box program outputs have been used to characterize program behaviors and they are compared over program versions in traditional regression testing. Program spectra have recently been proposed to characterize a program's behavior inside the black box. Comparing program spectra of program versions offers insights into the internal behavioral differences between versions. In this paper, we present a new class of program spectra, value spectra, that enriches the existing program spectra family. We compare the value spectra of a program's old version and new version to detect internal behavioral deviations in the new version. We use a deviation-propagation call tree to present the deviation details. Based on the deviation-propagation call tree, we propose two heuristics to locate deviation roots, which are program locations that trigger the behavioral deviations. We also use path spectra (previously proposed program spectra) to approximate the program states in value spectra. We then similarly compare path spectra to detect behavioral deviations and locate deviation roots in the new version. We have conducted an experiment on eight C programs to evaluate our spectra-comparison approach. The results show that both value-spectra-comparison and path-spectra-comparison approaches can effectively expose program behavioral differences between program versions even when their program outputs are the same, and our value-spectra-comparison approach reports deviation roots with high accuracy for most programs.","1939-3520","","10.1109/TSE.2005.107","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1542068","Index Terms- Program spectra;regression testing;software testing;empirical studies;software maintenance.","Software testing;Software maintenance;Fault diagnosis;Propagation losses;Program processors;Optimizing compilers","program testing;software maintenance;formal verification;regression analysis","regression testing;program version;software maintenance;black-box program;program behavior;program spectra;deviation-propagation call tree;C program;value-spectra-comparison;path-spectra-comparison","","34","1","36","","21 Nov 2005","","","IEEE","IEEE Journals"
"Automating Live Update for Generic Server Programs","C. Giuffrida; C. Iorgulescu; G. Tamburrelli; A. S. Tanenbaum","Vrije Universiteit Amsterdam, De Boelelaan, Amsterdam, Netherlands; École Polytechnique Fédérale de Lausanne, Lausanne, Switzerland; Vrije Universiteit Amsterdam, De Boelelaan, Amsterdam, Netherlands; Vrije Universiteit Amsterdam, De Boelelaan, Amsterdam, Netherlands","IEEE Transactions on Software Engineering","14 Mar 2017","2017","43","3","207","225","The pressing demand to deploy software updates without stopping running programs has fostered much research on live update systems in the past decades. Prior solutions, however, either make strong assumptions on the nature of the update or require extensive and error-prone manual effort, factors which discourage the adoption of live update. This paper presents <italic>Mutable Checkpoint-Restart</italic> (<italic>MCR</italic>), a new live update solution for generic (multiprocess and multithreaded) server programs written in C. Compared to prior solutions, MCR can support arbitrary software updates and automate most of the common live update operations. The key idea is to allow the running version to safely reach a quiescent state and then allow the new version to restart as similarly to a fresh program initialization as possible, relying on existing code paths to automatically restore the old program threads and reinitialize a relevant portion of the program data structures. To transfer the remaining data structures, MCR relies on a combination of precise and conservative garbage collection techniques to trace all the global pointers and apply the required state transformations on the fly. Experimental results on popular server programs (<italic>Apache httpd</italic>, <italic>nginx</italic>, <italic>OpenSSH</italic> and <italic>vsftpd</italic>) confirm that our techniques can effectively automate problems previously deemed difficult at the cost of negligible performance overhead (2 percent on average) and moderate memory overhead (3.9<inline-formula><tex-math notation=""LaTeX"">$\times$ </tex-math><alternatives><inline-graphic xlink:href=""giuffrida-ieq1-2584066.gif"" xmlns:xlink=""http://www.w3.org/1999/xlink""/></alternatives></inline-formula> on average, without optimizations).","1939-3520","","10.1109/TSE.2016.2584066","European Research Council; ERC(grant numbers:227874); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7497481","Live update;DSU;checkpoint-restart;quiescence detection;record-replay;garbage collection","Servers;Data structures;Convergence;Software;Manuals;System recovery;Buildings","","","","5","","57","IEEE","22 Jun 2016","","","IEEE","IEEE Journals"
"An Algorithm to Decide Feasibility of Linear Integer Constraints Occurrng in Decision Tables","S. Biswas; V. Rajaraman","Department of Computer Science and Engineering, Indian Institute of Technology; NA","IEEE Transactions on Software Engineering","18 Sep 2006","1987","SE-13","12","1340","1347","To detect errors in decision tables one needs to decide whether a given set of constraints is feasible or not. This paper describes an algorithm to do so when the constraints are linear in variables that take only integer values. Decision tables with such constraints occur frequently in business data processing and in nonnumeric applications. The aim of the algorithm is to exploit. the abundance of very simple constraints that occur in typical decision table contexts. Essentially, the algorithm is a backtrack procedure where the the solution space is pruned by using the set of simple constrains. After some simplications, the simple constraints are captured in an acyclic directed graph with weighted edges. Further, only those partial vectors are considered from extension which can be extended to assignments that will at least satisfy the simple constraints. This is how pruning of the solution space is achieved. For every partial assignment considered, the graph representation of the simple constraints provides a lower bound for each variable which is not yet assigned a value. These lower bounds play a vital role in the algorithm and they are obtained in an efficient manner by updating older lower bounds. Our present algorithm also incorporates an idea by which it can be checked whether or not an (m –2)-ary vector can be extended to a solution vector of m components, thereby backtracking is reduced by one component.","1939-3520","","10.1109/TSE.1987.233144","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1702183","Backtrack algorithm;decision tables;detection of errors;integer programming","Testing;Data processing;Linear programming;Calculus;Computer science;Integer linear programming","","Backtrack algorithm;decision tables;detection of errors;integer programming","","1","","12","","18 Sep 2006","","","IEEE","IEEE Journals"
"Structured Fortran—An Evolution of Standard Fortran","A. Ralston; J. L. Wagener","Department of Computer Science, State University of New York at Buffalo; NA","IEEE Transactions on Software Engineering","18 Sep 2006","1976","SE-2","3","154","176","Fortran is 21 years old; many would say that it has not reached adulthood but senility. Yet it remains the language of use in the overwhelming majority of scientific applications of computers and no end to this situation is in sight. Moreover, its evolution through the standards process is very slow, too slow to give any hope that Fortran will ever in this way become a language in which structured programs can be easily and effectively written.","1939-3520","","10.1109/TSE.1976.233813","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1702362","Control structures;data structures;data types;Fortran extensions;procedure-oriented languages;structured programing","Natural languages;Computer languages;Surgery;Computer science;Application software;Computer applications;Vehicles;Genetic programming;Data structures;Standards publication","","Control structures;data structures;data types;Fortran extensions;procedure-oriented languages;structured programing","","1","","23","","18 Sep 2006","","","IEEE","IEEE Journals"
"Application of Principal Component Analysis to Multikey Searching","R. C. T. Lee; Y. H. Chin; S. C. Chang","Institute of Applied Mathematics, National Tsing Hua University; NA; NA","IEEE Transactions on Software Engineering","18 Sep 2006","1976","SE-2","3","185","193","In this paper, we shall introduce a concept widely used by statisticians, the principal component analysis technique. We shall show that this principal component analysis technique can be used to create new keys from a set of old keys. These new keys are very useful in narrowing down the search domain. We shall also show that the projections on the first principal component direction can be viewed as hashing addresses for the best-match searching problem.","1939-3520","","10.1109/TSE.1976.225946","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1702364","Baskett and Shustek algorithm;best-match;exact-match;hash coding for best-match searching;multikey searching;principal component analysis;the Friedman;variance","Principal component analysis;Pattern recognition;Information security;Data security;Mathematics;Computer science;Information retrieval;Personnel;Books;Statistics","","Baskett and Shustek algorithm;best-match;exact-match;hash coding for best-match searching;multikey searching;principal component analysis;the Friedman;variance","","35","","16","","18 Sep 2006","","","IEEE","IEEE Journals"
"Comparing uniform and flexible policies for software maintenance and replacement","Y. Tan; V. S. Mookerjee","Bus. Sch., Washington Univ., Seattle, WA, USA; NA","IEEE Transactions on Software Engineering","25 Apr 2005","2005","31","3","238","255","The importance of software maintenance in managing the life-cycle costs of a system cannot be overemphasized. Beyond a point, however, it is better to replace a system rather than maintain it. We derive model and operating policy that reduces the sum of maintenance and replacement costs in the useful life of a software system. The main goal is to compare uniform (occurring at fixed time intervals) versus flexible (occurring at varying, planned time intervals) polices for maintenance and replacement. The model draws from the empirical works of earlier researchers to consider 1) inclusion of user requests for maintenance, 2) scale economies in software maintenance, 3) efficiencies derived from replacing old software technology with new software technology, and 4) the impact of software reuse on replacement and maintenance. Results from our model show that the traditional practice of maintaining or replacing a software system at uniform time intervals may not be optimal. We also find that an increase in software reuse leads to more frequent replacement, but the number of maintenance activities is not significantly impacted.","1939-3520","","10.1109/TSE.2005.30","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1423995","Index Terms- Software maintenance and replacement;cost models;optimal scheduling.","Software maintenance;Software systems;Application software;Cost function;Environmental economics;Optimal scheduling;Computer industry;Software performance;Personnel;Java","software reusability;software maintenance;software cost estimation","software maintenance;software replacement;software reuse;optimal scheduling;software cost estimation","","31","","57","","25 Apr 2005","","","IEEE","IEEE Journals"
"Observations of Fallibility in Applications of Modern Programming Methodologies","S. L. Gerhart; L. Yelowitz","Department of Computer Science, Duke University; NA","IEEE Transactions on Software Engineering","18 Sep 2006","1976","SE-2","3","195","207","Errors, inconsistencies, or confusing points are noted in a variety of published algorithms, many of which are being used as examples in formulating or teaching principles of such modern programming methodologies as formal specification, systematic construction, and correctness proving. Common properties of these points of contention are abstracted. These properties are then used to pinpoint possible causes of the errors and to formulate general guidelines which might help to avoid further errors. The common characteristic of mathematical rigor and reasoning in these examples is noted, leading to some discussion about fallibility in mathematics, and its relationship to fallibility in these programming methodologies. The overriding goal is to cast a more realistic perspective on the methodologies, particularly with respect to older methodologies, such as testing, and to provide constructive recommendations for their improvement.","1939-3520","","10.1109/TSE.1976.233815","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1702366","Correctness proofs;fallibility;program correctness;program errors;program specifications;programming methodologies;reliability;testing","Education;Formal specifications;Guidelines;Mathematical programming;Testing;Computer science;Mathematics;Error correction;Frequency;Data structures","","Correctness proofs;fallibility;program correctness;program errors;program specifications;programming methodologies;reliability;testing","","54","","31","","18 Sep 2006","","","IEEE","IEEE Journals"
"A rely and guarantee method for timed CSP: a specification and design of a telephone exchange","A. Kay; J. N. Reed","Comput. Lab., Oxford Univ., UK; Comput. Lab., Oxford Univ., UK","IEEE Transactions on Software Engineering","6 Aug 2002","1993","19","6","625","639","A rely and guarantee method for timed communicating sequential processes (TCPSs), by which the behavior of a component belonging to a composite system is specified in terms of what it guarantees to its neighbors and what it relies on from them, is described. The method is illustrated using an overview of the specification of a plain old telephone service together with part of a design that provably satisfies this specification. The specification and design deal with safety, liveness, and troublesome race conditions.<<ETX>></ETX>","1939-3520","","10.1109/32.232027","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=232027","","Telephony;Interconnected systems;Safety;Formal specifications;Switching systems;Protocols;Large-scale systems;Explosions;Europe;Concurrent computing","communicating sequential processes;formal specification;telecommunications computing;telephone exchanges","rely method;telephone exchange;guarantee method;timed communicating sequential processes;specification;telephone service;safety;liveness;troublesome race conditions","","21","","40","","6 Aug 2002","","","IEEE","IEEE Journals"
