"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A fresh perspective on old problems [software industry]","R. Fleming","1331 Avalon St., Klamath Falls, OR, USA","IEEE Software","6 Aug 2002","1999","16","1","106","113","The author documents the lessons he learned while working as an intern at a growing telecommunications company. Though his conclusions are not surprising, they can serve as reminders of how common certain problems are in the software industry and how important basic practices can be. Initially he spent his time debugging, extending and updating the company's in-house billing/provisioning system, and dealt primarily with code, code-level quality, and program documentation issues. Soon, however, opportunities arose for him to contribute ideas that ultimately affected the entire department. These opportunities in turn provided him with valuable lessons about essential yet often overlooked software development issues, from programming practices to team organization.","1937-4194","","10.1109/52.744577","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=744577","","Programming profession;Debugging;Documentation;Productivity;Chaotic communication;Books;Communication effectiveness","DP industry;software engineering;telecommunication computing","telecommunications company;software industry;program debugging;system updating;billing system;provisioning system;software quality;program documentation;software development;programming practices;team organization","","2","","3","","6 Aug 2002","","","IEEE","IEEE Magazines"
"Helix: The Architecture of the XMS Distributed File system","M. Fridrich; W. Older",BNR; NA,"IEEE Software","11 Sep 2006","1985","2","3","21","29","With abstraction layering and system decomposition, all the user sees is one homogeneous system. In actuality, the architecture is supporting 15 LANs and close to 1000 workstations.","1937-4194","","10.1109/MS.1985.230697","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1695332","","File systems;Computer architecture;Local area networks;Software architecture;Drives;Winches;File servers;Printers;Workstations;Buildings","","","","8","","6","","11 Sep 2006","","","IEEE","IEEE Magazines"
"Are Domain-Specific Models Easier to Maintain Than UML Models?","L. Cao; B. Ramesh; M. Rossi",Old Dominion University; Georgia State University; Helsinki School of Economics,"IEEE Software","19 Jun 2009","2009","26","4","19","21","Although domain-specific modeling (DSM) languages have been adopted in industries such as telecommunications and insurance, they haven't yet gained wide acceptance in practice. This is because the claims of increased productivity and ease of understanding haven't yet been verified by independent studies. To address this concern, we examined a DSM language's performance for maintenance tasks. Maintenance in software-intensive systems is critical because software often continuously evolves during development as well as after delivery, to meet users' ever-changing needs. So, maintenance performance significantly impacts software development productivity.Experimental results show that maintenance can be significantly easier and faster with a DSM language than with a general- purpose modeling language.","1937-4194","","10.1109/MS.2009.87","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5076454","visual programming;programming techniques;design notations and documentation;design representation;design maintainability;software distribution;software maintenance","Unified modeling language;Object oriented modeling;Industrial training;Productivity;Testing;System analysis and design;Domain specific languages;Mobile handsets;Performance evaluation;Error correction","software architecture;software maintenance;software performance evaluation;specification languages","domain-specific modeling language performance;software-intensive system maintenance;software development productivity;UML model","","9","","2","","19 Jun 2009","","","IEEE","IEEE Magazines"
"Agile Documentation, Anyone?","B. Selic",Malina Software Corp.,"IEEE Software","16 Oct 2009","2009","26","6","11","12","Software developers are notorious for skimping on design documentation, often eschewing it altogether. This trend has led to claims that it is merely an impediment in the fast-paced and highly pliable world of software development-a useless vestige of old-style engineering that should be eliminated altogether. While recognizing the unique nature of software, the author argues that, because of the complexity of modern software systems and the cryptic nature of current programming languages, good design documentation is not only useful but vital. However, we must seek ways of adapting it to suit the medium as well as the exceptionally dynamic development process.","1937-4194","","10.1109/MS.2009.167","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5287001","Documentation;Software engineering;Software maintenance","Documentation;Impedance;Software systems;Computer languages","software engineering;system documentation","agile documentation;software development;old-style engineering;modern software system complexity;programming languages;dynamic development process","","31","","2","","16 Oct 2009","","","IEEE","IEEE Magazines"
"Agile Requirements Engineering Practices: An Empirical Study","L. Cao; B. Ramesh",Old Dominion University; Georgia State University,"IEEE Software","7 Jan 2008","2008","25","1","60","67","An analysis of data from 16 software development organizations reveals seven agile RE practices, along with their benefits and challenges. The rapidly changing business environment in which most organizations operate is challenging traditional requirements-engineering (RE) approaches. Software development organizations often must deal with requirements that tend to evolve quickly and become obsolete even before project completion. Rapid changes in competitive threats, stakeholder preferences, development technology, and time-to-market pressures make prespecified requirements inappropriate.","1937-4194","","10.1109/MS.2008.1","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4420071","requirements engineering;agile software development","Data analysis;Programming;Quality management;Project management;Software development management;Software quality;Design engineering;Feedback;Protection;Urban areas","formal specification;software prototyping;systems analysis","agile iterative requirements engineering approach;business environment;software development organization;time-to-market pressure;requirement specification;empirical study","","179","","4","","7 Jan 2008","","","IEEE","IEEE Magazines"
"Are we developers liars or just fools [software managers]","R. N. Charette","PO Box 1929, Springfield, VA, USA","IEEE Software","6 Aug 2002","1995","12","4","90","92","Things were good in the old days. Very few people understood software, so those of us who were cognoscenti could get away with murder. We could explain away cost and schedule overruns by blaming ""complexity."" Performance problems were the fault of emerging technology and if management or customers got angry, what could they do? Although nearly everything that defined ""the old days"" has changed, the author argues that many of the old foibles remain. According to the author, software managers and the people who work for them risk being viewed as liars or fools, a perception that can only harm the software community.<<ETX>></ETX>","1937-4194","","10.1109/52.391841","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=391841","","Software development management;Project management;Costs;State estimation;Monitoring;Ethics;Books;Statistics;Observers;Uncertainty","software development management;personnel;social aspects of automation","software developers;software cost;software development schedule;complexity;software performance problems;software managers;software community","","","","","","6 Aug 2002","","","IEEE","IEEE Magazines"
"Integrate End to End Early and Often","F. H. Bachmann; L. Carballo; J. McHale; R. L. Nord",Software Engineering Institute; Bursatec; Software Engineering Institute; Software Engineering Institute,"IEEE Software","26 Jun 2013","2013","30","4","9","14","This column is all about stories, and this one is as exciting as a paperback whodunit. The details are all included, and I hate to spoil it, but there's a happy ending. The story is about something old--designing and implementing a new system when the old one was really old (two decades!) and something new--using outside research consultants to save the day with a secret sauce. Enjoy!","1937-4194","","10.1109/MS.2013.77","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6547611","software architecture;software process;incremental iterative development;integration;architecture-centric engineering;team software process","Computer architecture;Software development;Aging;Software engineering;Prototypes;Software testing;Software quality","software architecture","end-to-end software integration;software development project;software architecture","","4","","5","","26 Jun 2013","","","IEEE","IEEE Magazines"
"A home-page overhaul using other Web sites","J. Nielsen","SunSoft, Mountain View, CA, USA","IEEE Software","6 Aug 2002","1995","12","3","75","78","The best prototype for designing a new user interface is your old user interface. The second best prototype is a competing product. Your competitors have invested significant resources in designing and implementing what they believe to be good user interfaces. You can glean much of what you need to create a new interface by examining products designed to solve similar problems. As with your own old user interface, you can analyze competing interfaces to see what works and what doesn't. You can also watch how users interact with competing products, and thus learn how they approach tasks. This, in essence, is competitive usability analysis. I recommend performing it very early in the usability engineering life-cycle-after you have visited the customer, gathered requirements, and defined the product vision, but before you design and prototype your new user interface.<<ETX>></ETX>","1937-4194","","10.1109/52.382190","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=382190","","Prototypes;User interfaces;Usability;Design engineering;Costs;Software prototyping;Web page design;Design optimization;Cloning;Product design","Internet;user interfaces;software prototyping;internetworking","World Wide Web home pages;user interface design;competing products;competitive usability analysis;usability engineering life-cycle;prototyping;WWW sites","","1","","","","6 Aug 2002","","","IEEE","IEEE Magazines"
"Requirements Engineering's Next Top Model","O. Gotel; J. Cleland-Huang",NA; DePaul University,"IEEE Software","28 Oct 2013","2013","30","6","24","29","A game-show environment let a panel competitively explore the use of various requirements modeling techniques for specifying a complex problem. Although plain old text and rich pictures emerged as the winners, real-world problems are best modeled using a variety of techniques. The Web extra at http://youtu.be/6vfIwSauj5o is an audio podcast of author Jane Cleland-Huang providing an audio recording of her Requirements column, in which she discusses how a game-show environment at the 2013 European Software Engineering Conference let a panel competitively explore the use of various requirements modeling techniques for specifying a complex problem.","1937-4194","","10.1109/MS.2013.129","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6648608","requirements;modeling","Unified modeling language;Games;Computational modeling;Adaptation models;Software engineering","","","","","","1","","28 Oct 2013","","","IEEE","IEEE Magazines"
"Aim, fire [test-first coding]","K. Beck",NA,"IEEE Software","7 Aug 2002","2001","18","5","87","89","The author argues that test-first coding is not testing. Test-first coding is not new. It is nearly as old as programming. It is an analysis technique. We decide what we are programming and what we are not programming, and we decide what answers we expect. Test-first is also a design technique.","1937-4194","","10.1109/52.951502","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=951502","","Fires;Shape;Automatic testing;Software testing;Writing;Educational institutions;Logic testing;Viruses (medical);Fasteners;Quality control","systems analysis;program testing","test-first coding;program testing;programming;systems analysis;software design technique","","15","","","","7 Aug 2002","","","IEEE","IEEE Magazines"
"Interfaces for intermediates","L. L. Constantine","Constantine & Lockwood Ltd., Acton, MA, USA","IEEE Software","6 Aug 2002","1994","11","4","96","99","Intermediates (those who are neither beginners nor old hands, and who make up most of the user population) are perhaps the most neglected user segment in terms of interface design, yet there are possibly more intermediate users than beginners or experts. The author urges interface designers to take note of this segment and details a transitional interface well-suited for bridging the gap between novice and expert.<<ETX>></ETX>","1937-4194","","10.1109/52.300096","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=300096","","Usability;Computer architecture;Turning;User interfaces;Computer interfaces;Programming profession;Keyboards;Impedance;Leg;Rubber","user interfaces;human factors;interactive devices;software engineering","intermediate users;user population;user segment;user interface design;user interface optimization","","","","","","6 Aug 2002","","","IEEE","IEEE Magazines"
"Law review: What's new? Tracing the origin of species","K. J. Dakin","5675 DTC Blvd., Englewood, CO, USA","IEEE Software","6 Aug 2002","1995","12","2","99","100","One common question asked at the outset of a software-development project is if it is okay to create the new program. The simple and easy legal answer is that the law does not prohibit the development of new software. The reason the law is so crystal clear on the issue of developing new software is that it presumes a theoretical situation called independent development, in which new software is presumed to; be based solely on any new concepts or code; contain no old concepts or code; and contain the thoughts of only the participants of the development team. Independently developed software must be 100 percent original. The paper considers how it does not survive long when applied to situations in the real world. There is no such thing as new software that is truly and entirely original.<<ETX>></ETX>","1937-4194","","10.1109/52.368274","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=368274","","Authorization;Licenses;Software quality;Loss measurement;Software measurement;Process design;Investments;Design methodology;Utility programs;Employment","software engineering;product liability;copyright","software-development project;legal answer;law;software development;independent development;development team;independently developed software;new software","","","","","","6 Aug 2002","","","IEEE","IEEE Magazines"
"Guest Editors' Introduction: Dynamically Typed Languages","L. Tratt; R. Wuyts",Bournemouth University; IMEC,"IEEE Software","17 Sep 2007","2007","24","5","28","30","The languages discussed in this special issue have a long history, which is perhaps why some have had several different names over the years. One such language is Lisp, the second-oldest programming language. For years, many somewhat dismissively described languages such as Lisp as ""scripting languages."" Today, we more commonly refer to them as dynamically typed languages, typified by Python and Ruby, and their impact is arguably greater than ever. This issue highlights the practical uses of such languages and shows how they're frequently a vehicle for innovation in the development sphere. This article is part of a special issue on dynamically typed languages.","1937-4194","","10.1109/MS.2007.140","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4302683","dynamically typed languages;Lisp;Python;Ruby;Smalltalk;Lua;CLOS","Programming profession;Software reusability;Application software;History;Java;Testing;Safety devices;IEEE news;Runtime;Computer languages","","","","3","","","","17 Sep 2007","","","IEEE","IEEE Magazines"
"Test Optimization Using Software Virtualization","S. Seetharaman; B. V. S. Krishna Murthy",Alcatel; Alcatel,"IEEE Software","6 Sep 2006","2006","23","5","66","69","Virtualization of operating systems has recently become a hype, although the concept is very old. Virtualization lets us group resources logically and thus abstract from the dependencies that physical implementations create. For operating systems, virtualization lets us reduce resource constraints and expenses for a multitude of interacting hardware and operating systems. This is helpful in scenarios with many such dependencies, such as testing. This article briefly introduces virtualization from a tester's perspective. It summarizes experiences and compares different virtualization approaches: architectural, logical, and physical. Only the test itself remains a necessary reality","1937-4194","","10.1109/MS.2006.143","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1687863","software testing;virtual machines;open source","Software testing;Hardware;Virtual manufacturing;Platform virtualization;Operating systems;Voice mail;Personal communication networks;Test equipment;Resource virtualization;Virtual machining","operating systems (computers);optimisation;program testing;virtual machines","software test optimization;software virtualization;operating system","","10","","3","","6 Sep 2006","","","IEEE","IEEE Magazines"
"Point/Counterpoint","I. Alexander; K. Beck","Three Rivers Institute, OR; NA","IEEE Software","5 Mar 2007","2007","24","2","62","65","The key to successful systems is building what the stakeholders desire. In a way, this point can hardly be gain.said: nobody wants to build what the stakeholders don't desire. But as usual, the devil is in the details. this paper contrasts two examples to illustrate what it can mean to build what stakeholders desire. There's an old saying in software development that the users don't know what they want until you give them what they asked for. Experienced developers often smile ruefully when they hear this, having been told at least once in their careers that a system they had delivered was totally unacceptable when it was exactly (as far as they could tell) what was requested. There's more to delivering good software than following orders. The paper describes what positive role developers can play in discovering and exploring requirements","1937-4194","","10.1109/MS.2007.50","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4118652","requirements engineering;software development;agile methods","Discrete wavelet transforms;Engineering profession;Costs;Eyes;Lead;Programming","formal specification;software development management;systems analysis","software development;requirements engineering;DWTTY;stakeholders requirements","","","","","","5 Mar 2007","","","IEEE","IEEE Magazines"
"Client-server user-interface testing","D. F. Mosley","Client-Server Software Testing Technol., Frontenac, MO, USA","IEEE Software","6 Aug 2002","1995","12","1","124","127","As client-server applications continue to replace mainframe-based systems, developers are looking for ways to adapt testing procedures for graphical user interfaces. Some advocate starting from scratch with new approaches; others see ways to amend old techniques and supplement them with new ones.<<ETX>></ETX>","1937-4194","","10.1109/52.363159","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=363159","","Software testing;System testing;Graphical user interfaces;Application software;Software prototyping;Prototypes;Switches;Process control;Books;Software measurement","graphical user interfaces;program testing;client-server systems","user-interface testing;client-server applications;testing procedures;graphical user interfaces","","","1","4","","6 Aug 2002","","","IEEE","IEEE Magazines"
"Next-Generation Architects for a Harsh Business World","W. A. Risi",KPMG Argentina,"IEEE Software","20 Feb 2012","2012","29","2","9","12","Walter Ariel Risi proposes some patterns for hiring productive people that remind me of research done in the early days of patterns by Jim Coplien, who found that hyperproductive teams included, in many cases, musicians! In the old days, companies often hired smart people from other disciplines because software engineering or computer science hadn't joined the academic production of certified, degreed contributors. With the current focus now on degrees, I wonder if we've lost something important.","1937-4194","","10.1109/MS.2012.37","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6155136","personnel;HR;architects;traditional;nontraditional","Career development;Personnel;Engineering profession;Computer science education;Research and development","personnel;recruitment;software engineering","next generation architects;harsh business world;productive people hiring;hyperproductive team;musicians;smart people hiring;software engineering;computer science;academic production;degreed contributor","","1","","","","20 Feb 2012","","","IEEE","IEEE Magazines"
"A tale of three programs","G. J. Holzmann",Nimble Research,"IEEE Software","15 May 2017","2017","34","3","23","26","A look at the generation of prime numbers offers a cautionary tale about the perils of premature optimization. We can code this in any reasonable programming language, and in quite a few unreasonable ones as well. It can be fun to express the algorithm in Python, C, C++, Scala, or Go, or even in scripting languages such as Tcl or Awk. And, yes, I confess that I've tried most of these, including Awk. Each language offers different features that can simplify the job or make it more interesting. For our current purpose, it'll suffice to stick to just plain old C.In a first attempt, we might come up with the version in Figure 1, which assumes that we provide the value of N in some other way-for example, with a macro directive to the C compiler.","1937-4194","","10.1109/MS.2017.62","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7927921","prime numbers;recursion;Sieve of Eratosthenes;software development;software engineering;programming;Robert Morris Sr.","Mathematics;Encoding","C language;program compilers","programming language;scripting languages;C language;C compiler","","","","1","","15 May 2017","","","IEEE","IEEE Magazines"
"Body Sensors: Wireless Access to Physiological Data","A. D. Jurik; A. C. Weaver",University of Virginia; University of Virginia,"IEEE Software","22 Dec 2008","2009","26","1","71","73","An area often neglected in software technology is where software meets biology. We'll approach this topic with one of the major interfaces between human beings and information technology: body sensors. These sensors mostly operate as interfaces to relatively small software components attached to or implanted into human bodies, such as pacemakers. They provide bidirectional communication interfaces between a person and a remote information system that provides healthcare services, diagnosis, or upgrades. The authors offer an overview of this rather old yet fast-evolving technology and show how to cope with design constraints.","1937-4194","","10.1109/MS.2009.5","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4721186","body sensors;wireless communication;embedded software","Wireless sensor networks;Wearable sensors;Biosensors;Humans;Circuits;Sensor phenomena and characterization;Energy management;Technology management;Voltage;Information technology","biomedical telemetry;biosensors;body area networks;health care;wireless sensor networks","body sensors;wireless access;physiological data;software technology;information technology;software components;pacemakers;bidirectional communication interfaces;remote information system;healthcare services;healthcare diagnosis;healthcare upgrades","","9","","","","22 Dec 2008","","","IEEE","IEEE Magazines"
"Git","D. Spinellis",Athens University of Economics and Business,"IEEE Software","20 Apr 2012","2012","29","3","100","101","Git is a distributed revision control system available on all mainstream development platforms through a free software license. An important difference of git over its older ancestors is that it elevates the software's revisions to first-class citizens. Developers care deeply about software revisions, and git supports this by giving each developer a complete private copy of the software repository and numerous ways to manage revisions within its context. The ability to associate a local repository with numerous remote ones allows developers and their managers to build a variety of interesting distributed workflows, most of which are impossible to run on a traditional centralized version control system. The local repository also makes git responsive, easy to setup, and able to operate without Internet connectivity. GitHub is a git repository hosting provider that simplifies many repository management tasks through a Web-based user interface while also promoting cooperation in open source projects.","1937-4194","","10.1109/MS.2012.61","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6188603","git;distributed version control;GitHub;configuration management","History;Control systems;Economics;Cloning;Kernel;Business","","","","11","","","","20 Apr 2012","","","IEEE","IEEE Magazines"
"Like a River","G. Booch",IBM,"IEEE Software","17 Apr 2009","2009","26","3","10","11","The metaphor of software development as building construction is an old one. Here is a fresh perspective, considering the life cycle of a software-intensive system as a river.","1937-4194","","10.1109/MS.2009.74","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4814951","life cycle;software-intensive systems","Rivers;Computer architecture;Societies;Reconnaissance;Solids;Sea surface;Marine animals;Lakes;Springs;Oceans","","","","","","","","17 Apr 2009","","","IEEE","IEEE Magazines"
